,feature,Importance
0,age,0.3696450462372714
1,joined_through_referral,0.2874035249436553
2,feedback,0.0530204301050933
3,points_in_wallet,0.0437096688598994
4,offer_application_preference,0.0254494110629439
5,complaint_status,0.0253066729067616
6,Unnamed: 0,0.0237601220246358
7,referral_id,0.0205628083741415
8,gender,0.0201770225786779
9,membership_category,0.0200491575345454
10,cluster,0.0166017456440064
11,security_no,0.0163954147742358
12,past_complaint,0.0143770727137064
13,medium_of_operation,0.0123051469838159
14,region_category,0.0079872255121486
15,avg_frequency_login_days,0.0077160022569859
16,joining_date,0.0061939239592121
17,last_visit_time,0.0059636256270342
18,internet_option,0.0056573250967804
19,used_special_discount,0.0052700200641958
20,preferred_offer_types,0.0041406134732164
21,avg_transaction_value,0.0029526993415867
22,days_since_last_login,0.0026985577051846
23,avg_time_spent,0.0026567622202643
