age,total_customers,churned_customers,churn_rate_%
37.0,2334,2067.0,88.56
38.0,674,390.0,57.86
28.0,657,376.0,57.23
62.0,653,372.0,56.97
56.0,655,369.0,56.34
35.0,631,355.0,56.26
29.0,646,361.0,55.88
59.0,666,370.0,55.56
52.0,639,354.0,55.4
31.0,605,335.0,55.37
54.0,586,324.0,55.29
11.0,626,346.0,55.27
49.0,630,348.0,55.24
25.0,602,332.0,55.15
33.0,687,376.0,54.73
50.0,625,342.0,54.72
32.0,660,361.0,54.7
60.0,671,367.0,54.69
14.0,640,350.0,54.69
43.0,631,345.0,54.68
57.0,668,365.0,54.64
23.0,645,352.0,54.57
24.0,618,337.0,54.53
36.0,646,352.0,54.49
47.0,668,363.0,54.34
44.0,639,347.0,54.3
30.0,674,366.0,54.3
34.0,660,358.0,54.24
64.0,642,348.0,54.21
58.0,642,348.0,54.21
26.0,634,343.0,54.1
51.0,625,338.0,54.08
39.0,610,328.0,53.77
45.0,651,350.0,53.76
22.0,645,346.0,53.64
20.0,614,329.0,53.58
17.0,656,351.0,53.51
42.0,694,371.0,53.46
46.0,646,345.0,53.41
53.0,643,342.0,53.19
19.0,619,329.0,53.15
18.0,588,312.0,53.06
15.0,612,324.0,52.94
41.0,665,352.0,52.93
55.0,658,348.0,52.89
12.0,630,333.0,52.86
10.0,643,336.0,52.26
21.0,658,342.0,51.98
13.0,616,319.0,51.79
16.0,693,357.0,51.52
61.0,670,344.0,51.34
63.0,628,318.0,50.64
48.0,645,326.0,50.54
40.0,601,300.0,49.92
27.0,628,309.0,49.2
